order_id,order_date,name,city,state,post_code,region,category,sub_category,sales,qty,profit
CA-2015-124450,2015-04-27 00:00:00,Greg Tran,Washington,District of Columbia,20016,East,Furniture,Chairs,1267.53,3,316.88
CA-2015-124450,2015-04-27 00:00:00,Greg Tran,Washington,District of Columbia,20016,East,Technology,Machines,1379.92,8,648.56
CA-2015-167269,2015-06-16 00:00:00,Philip Brown,Philadelphia,Pennsylvania,19134,East,Office Supplies,Envelopes,6.21,2,2.17
CA-2017-106964,2017-12-17 00:00:00,Hallie Redmond,Los Angeles,California,90045,West,Office Supplies,Binders,11.81,2,4.28
CA-2016-126529,2016-01-11 00:00:00,Deanra Eno,Springfield,Ohio,45503,East,Office Supplies,Paper,15.55,3,5.44
CA-2016-126529,2016-01-11 00:00:00,Deanra Eno,Springfield,Ohio,45503,East,Office Supplies,Paper,63.31,3,20.58
CA-2016-126529,2016-01-11 00:00:00,Deanra Eno,Springfield,Ohio,NULL,East,Technology,Phones,15.59,2,-9.87
CA-2014-163552,2014-07-11 00:00:00,Laura Armstrong,Hackensack,New Jersey,7601,East,Office Supplies,Paper,177.2,5,83.28
CA-2014-163552,2014-07-11 00:00:00,Laura Armstrong,Hackensack,New Jersey,7601,East,Technology,Phones,197.97,3,57.41
CA-2014-163552,2014-07-11 00:00:00,Laura Armstrong,Hackensack,New Jersey,7601,East,Furniture,Chairs,854.94,3,213.74
CA-2014-163552,2014-07-11 00:00:00,Laura Armstrong,Hackensack,New Jersey,7601,East,Furniture,Furnishings,124.11,9,52.13
CA-2014-163552,2014-07-11 00:00:00,Laura Armstrong,Hackensack,New Jersey,7601,East,Office Supplies,Labels,14.4,5,7.06
CA-2016-109820,2016-11-20 00:00:00,Allen Goldenen,Cincinnati,Ohio,45231,East,Office Supplies,Paper,15.7,3,5.1
CA-2016-109820,2016-11-20 00:00:00,Allen Goldenen,Cincinnati,Ohio,45231,East,Office Supplies,Binders,2.63,2,-1.93
CA-2016-109820,2016-11-20 00:00:00,Allen Goldenen,Cincinnati,Ohio,45231,East,Office Supplies,Binders,14.43,3,-10.58
CA-2016-113061,2016-04-22 00:00:00,Ed Ludwig,Jefferson City,Missouri,65109,Central,Furniture,Furnishings,86.62,2,8.66
CA-2015-127418,2015-06-13 00:00:00,Jennifer Jackson,Los Angeles,California,90004,West,Office Supplies,Binders,36.62,3,13.73
CA-2017-121818,2017-11-20 00:00:00,Jennifer Halladay,Burlington,North Carolina,27217,South,Office Supplies,Art,23.97,7,2.7
CA-2017-121818,2017-11-20 00:00:00,Jennifer Halladay,Burlington,North Carolina,27217,South,Office Supplies,Art,28.73,3,1.8
CA-2016-127670,2016-03-20 00:00:00,Robert Dilbeck,Saint Peters,Missouri,63376,Central,Furniture,Tables,697.16,4,146.4
CA-2016-102981,2016-09-06 00:00:00,Mary O'Rourke,New York City,New York,NULL,East,Technology,Accessories,31.86,2,11.15
CA-2016-102981,2016-09-06 00:00:00,Mary O'Rourke,New York City,New York,NULL,East,Furniture,Bookcases,722.35,3,90.29
CA-2017-115651,2017-07-09 00:00:00,Noel Staavos,Chicago,Illinois,NULL,Central,Office Supplies,Art,8.84,5,2.98
CA-2017-115651,2017-07-09 00:00:00,Noel Staavos,Chicago,Illinois,60610,Central,Office Supplies,Appliances,58.46,9,-146.16
CA-2017-152702,2017-10-12 00:00:00,Steve Nguyen,Rockford,Illinois,61107,Central,Furniture,Chairs,254.6,14,-18.19
CA-2016-169103,2016-03-08 00:00:00,Zuschuss Carroll,Miami,Florida,33142,South,Technology,Phones,1363.96,5,85.25
CA-2016-169103,2016-03-08 00:00:00,Zuschuss Carroll,Miami,Florida,33142,South,Furniture,Furnishings,102.36,3,-3.84
CA-2014-139192,2014-05-27 00:00:00,Lena Creighton,San Francisco,California,94109,West,Technology,Phones,1113.5,12,125.27
CA-2014-139192,2014-05-27 00:00:00,Lena Creighton,San Francisco,California,94109,West,Technology,Accessories,99.99,1,38
US-2015-153500,2015-07-03 00:00:00,Deirdre Greer,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,168.46,2,-29.48
US-2015-153500,2015-07-03 00:00:00,Deirdre Greer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,6.72,2,2.44
US-2015-153500,2015-07-03 00:00:00,Deirdre Greer,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,282.89,9,56.58
CA-2015-110667,2015-04-04 00:00:00,Nicole Fjeld,New York City,New York,10009,East,Office Supplies,Art,11.16,2,4.35
CA-2015-110667,2015-04-04 00:00:00,Nicole Fjeld,New York City,New York,10009,East,Furniture,Furnishings,108.4,2,22.76
CA-2015-110667,2015-04-04 00:00:00,Nicole Fjeld,New York City,New York,10009,East,Office Supplies,Binders,82.34,3,27.79
CA-2015-110667,2015-04-04 00:00:00,Nicole Fjeld,New York City,New York,10009,East,Office Supplies,Binders,9.09,4,3.29
CA-2017-167150,2017-12-10 00:00:00,Ben Peterman,San Diego,California,92037,West,Office Supplies,Binders,19.94,4,7.23
CA-2017-167150,2017-12-10 00:00:00,Ben Peterman,San Diego,California,92037,West,Office Supplies,Binders,65.57,2,22.95
CA-2016-105284,2016-11-24 00:00:00,Matthew Grinstein,Philadelphia,Pennsylvania,19143,East,Office Supplies,Fasteners,4.42,3,1.6
US-2015-125374,2015-03-23 00:00:00,Julia Dunbar,Houston,Texas,77095,Central,Furniture,Chairs,107.77,2,-29.25
CA-2015-161263,2015-04-16 00:00:00,Theresa Swint,Toledo,Ohio,43615,East,Office Supplies,Appliances,45.22,3,4.52
CA-2015-161263,2015-04-16 00:00:00,Theresa Swint,Toledo,Ohio,43615,East,Office Supplies,Fasteners,10.42,7,-2.21
CA-2015-161263,2015-04-16 00:00:00,Theresa Swint,Toledo,Ohio,43615,East,Office Supplies,Art,7.87,3,1.28
CA-2015-161263,2015-04-16 00:00:00,Theresa Swint,Toledo,Ohio,43615,East,Technology,Phones,118.78,3,-27.72
CA-2015-161263,2015-04-16 00:00:00,Theresa Swint,Toledo,Ohio,43615,East,Office Supplies,Fasteners,1.45,1,0.24
CA-2015-161263,2015-04-16 00:00:00,Theresa Swint,Toledo,Ohio,43615,East,Office Supplies,Binders,55.47,5,-46.23
CA-2016-157686,2016-10-01 00:00:00,Brian DeCherney,San Francisco,California,94122,West,Furniture,Chairs,194.85,4,12.18
US-2017-139955,2017-09-28 00:00:00,Charles McCrossin,Brownsville,Texas,78521,Central,Office Supplies,Supplies,1.74,1,-0.35
US-2015-150161,2015-07-25 00:00:00,Ross Baird,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,25.18,4,-18.46
CA-2015-144652,2015-11-20 00:00:00,Skye Norling,Los Angeles,California,90008,West,Office Supplies,Art,19.46,7,5.06
CA-2016-152814,2016-04-28 00:00:00,Erica Hernandez,Denver,Colorado,80219,West,Office Supplies,Paper,29.47,3,9.95
CA-2017-106943,2017-11-14 00:00:00,Frank Olsen,New York City,New York,10035,East,Office Supplies,Binders,8.64,2,3.02
CA-2016-134348,2016-11-12 00:00:00,Maurice Satty,Mesa,Arizona,85204,West,Office Supplies,Binders,6.27,5,-4.6
CA-2016-134348,2016-11-12 00:00:00,Maurice Satty,Mesa,Arizona,85204,West,Office Supplies,Binders,4.37,7,-3.35
CA-2016-134348,2016-11-12 00:00:00,Maurice Satty,Mesa,Arizona,85204,West,Technology,Accessories,31.98,2,2
CA-2016-161781,2016-09-29 00:00:00,Chad Cunningham,Columbus,Indiana,47201,Central,Office Supplies,Art,40.88,7,10.63
CA-2017-132521,2017-09-23 00:00:00,Don Weiss,Seattle,Washington,98105,West,Office Supplies,Appliances,119.96,2,33.59
CA-2017-132521,2017-09-23 00:00:00,Don Weiss,Seattle,Washington,98105,West,Office Supplies,Storage,31.44,3,8.49
CA-2017-132521,2017-09-23 00:00:00,Don Weiss,Seattle,Washington,98105,West,Office Supplies,Binders,6.88,1,2.32
CA-2015-110016,2015-11-29 00:00:00,Bill Tyler,Detroit,Michigan,48227,Central,Office Supplies,Paper,19.92,4,9.36
CA-2015-110016,2015-11-29 00:00:00,Bill Tyler,Detroit,Michigan,48227,Central,Furniture,Chairs,1106.91,9,121.76
US-2016-143819,2016-03-01 00:00:00,Karen Daniels,Yonkers,New York,10701,East,Furniture,Tables,836.59,8,-264.92
US-2016-143819,2016-03-01 00:00:00,Karen Daniels,Yonkers,New York,10701,East,Office Supplies,Paper,26.38,1,12.13
US-2016-143819,2016-03-01 00:00:00,Karen Daniels,Yonkers,New York,10701,East,Office Supplies,Storage,362.92,2,105.25
US-2016-143819,2016-03-01 00:00:00,Karen Daniels,Yonkers,New York,10701,East,Technology,Machines,4899.93,7,2400.97
CA-2016-167584,2016-08-12 00:00:00,Lena Cacioppo,Des Moines,Iowa,50315,Central,Office Supplies,Paper,6.48,1,3.11
CA-2016-166163,2016-08-15 00:00:00,Craig Yedwab,Oakland,California,94601,West,Technology,Phones,71.98,3,7.2
CA-2016-166163,2016-08-15 00:00:00,Craig Yedwab,Oakland,California,94601,West,Office Supplies,Labels,3.15,1,1.51
CA-2017-158407,2017-06-04 00:00:00,Lindsay Williams,Monroe,North Carolina,28110,South,Furniture,Furnishings,31.98,2,2
CA-2017-158407,2017-06-04 00:00:00,Lindsay Williams,Monroe,North Carolina,28110,South,Technology,Phones,71.98,2,25.19
CA-2015-143490,2015-12-06 00:00:00,Naresj Patel,San Diego,California,92105,West,Office Supplies,Art,120.15,9,33.64
CA-2015-143490,2015-12-06 00:00:00,Naresj Patel,San Diego,California,92105,West,Technology,Phones,219.18,2,19.18
CA-2015-165085,2015-12-27 00:00:00,Brad Thomas,Clinton,Maryland,20735,East,Office Supplies,Paper,28.9,5,14.16
CA-2015-165085,2015-12-27 00:00:00,Brad Thomas,Clinton,Maryland,20735,East,Office Supplies,Appliances,355.96,2,103.23
CA-2017-160423,2017-01-21 00:00:00,Penelope Sewall,Charlotte,North Carolina,28205,South,Office Supplies,Storage,348.21,7,30.47
CA-2017-160423,2017-01-21 00:00:00,Penelope Sewall,Charlotte,North Carolina,28205,South,Office Supplies,Binders,35.78,7,-28.63
CA-2014-159338,2014-06-25 00:00:00,Noel Staavos,Los Angeles,California,90049,West,Furniture,Tables,447.84,5,11.2
CA-2016-107216,2016-06-14 00:00:00,Paul Van Hugh,San Francisco,California,94122,West,Office Supplies,Art,7.04,4,2.04
CA-2016-107216,2016-06-14 00:00:00,Paul Van Hugh,San Francisco,California,94122,West,Furniture,Furnishings,8.73,3,4.1
CA-2016-107216,2016-06-14 00:00:00,Paul Van Hugh,San Francisco,California,94122,West,Technology,Accessories,29.29,1,9.67
CA-2016-107216,2016-06-14 00:00:00,Paul Van Hugh,San Francisco,California,94122,West,Office Supplies,Art,8.64,3,2.51
US-2017-145863,2017-04-21 00:00:00,Resi P̦lking,Houston,Texas,77041,Central,Office Supplies,Binders,2.69,3,-4.71
US-2017-145863,2017-04-21 00:00:00,Resi P̦lking,Houston,Texas,77041,Central,Office Supplies,Binders,2.93,3,-4.99
CA-2016-112340,2016-10-21 00:00:00,Neoma Murray,Riverside,California,92503,West,Office Supplies,Paper,22.92,3,11.23
US-2016-110156,2016-11-19 00:00:00,Eric Hoffmann,Houston,Texas,77041,Central,Office Supplies,Storage,100.7,6,-16.36
US-2016-110156,2016-11-19 00:00:00,Eric Hoffmann,Houston,Texas,77041,Central,Furniture,Furnishings,2.33,2,-0.76
US-2016-110156,2016-11-19 00:00:00,Eric Hoffmann,Houston,Texas,77041,Central,Office Supplies,Binders,10.78,5,-17.25
US-2016-110156,2016-11-19 00:00:00,Eric Hoffmann,Houston,Texas,77041,Central,Office Supplies,Fasteners,58.37,12,21.89
US-2016-110156,2016-11-19 00:00:00,Eric Hoffmann,Houston,Texas,77041,Central,Office Supplies,Envelopes,40.97,3,13.83
US-2016-110156,2016-11-19 00:00:00,Eric Hoffmann,Houston,Texas,77041,Central,Technology,Phones,71.96,5,25.19
US-2016-110156,2016-11-19 00:00:00,Eric Hoffmann,Houston,Texas,77041,Central,Office Supplies,Paper,10.37,2,3.63
US-2016-110156,2016-11-19 00:00:00,Eric Hoffmann,Houston,Texas,77041,Central,Office Supplies,Binders,1.19,2,-2.03
CA-2017-140585,2017-12-18 00:00:00,Russell Applegate,Encinitas,California,92024,West,Office Supplies,Binders,46.67,2,16.34
CA-2017-140585,2017-12-18 00:00:00,Russell Applegate,Encinitas,California,92024,West,Furniture,Bookcases,119.83,1,-12.69
CA-2017-140585,2017-12-18 00:00:00,Russell Applegate,Encinitas,California,92024,West,Technology,Accessories,119.98,2,57.59
CA-2016-144855,2016-07-22 00:00:00,Dionis Lloyd,San Francisco,California,94110,West,Office Supplies,Labels,6.3,2,3.02
CA-2015-142755,2015-09-04 00:00:00,Christine Sundaresam,Roswell,Georgia,30076,South,Office Supplies,Paper,279.9,5,137.15
CA-2015-142755,2015-09-04 00:00:00,Christine Sundaresam,Roswell,Georgia,30076,South,Technology,Accessories,619.95,5,111.59
CA-2015-142755,2015-09-04 00:00:00,Christine Sundaresam,Roswell,Georgia,30076,South,Office Supplies,Paper,4.36,2,2.05
CA-2015-142755,2015-09-04 00:00:00,Christine Sundaresam,Roswell,Georgia,30076,South,Office Supplies,Envelopes,15.28,2,7.49
US-2014-147627,2014-01-20 00:00:00,Hunter Lopez,Jonesboro,Arkansas,72401,South,Technology,Phones,699.93,7,181.98
US-2014-147627,2014-01-20 00:00:00,Hunter Lopez,Jonesboro,Arkansas,72401,South,Office Supplies,Art,22.96,7,6.66
US-2014-147627,2014-01-20 00:00:00,Hunter Lopez,Jonesboro,Arkansas,72401,South,Furniture,Furnishings,38.6,4,11.58
US-2014-147627,2014-01-20 00:00:00,Hunter Lopez,Jonesboro,Arkansas,72401,South,Office Supplies,Art,6.63,3,1.79
US-2014-147627,2014-01-20 00:00:00,Hunter Lopez,Jonesboro,Arkansas,72401,South,Office Supplies,Envelopes,23.34,3,10.97
US-2014-147627,2014-01-20 00:00:00,Hunter Lopez,Jonesboro,Arkansas,72401,South,Furniture,Chairs,1067.94,3,224.27
CA-2015-105970,2015-03-02 00:00:00,Pete Armstrong,Richmond,Indiana,47374,Central,Office Supplies,Art,10.16,1,2.64
CA-2015-105970,2015-03-02 00:00:00,Pete Armstrong,Richmond,Indiana,47374,Central,Office Supplies,Envelopes,101.88,6,50.94
CA-2016-112102,2016-04-12 00:00:00,Brian Dahlen,Springfield,Virginia,22153,South,Furniture,Tables,343.92,4,75.66
CA-2016-112102,2016-04-12 00:00:00,Brian Dahlen,Springfield,Virginia,22153,South,Office Supplies,Paper,40.99,1,20.09
CA-2016-112102,2016-04-12 00:00:00,Brian Dahlen,Springfield,Virginia,22153,South,Office Supplies,Envelopes,63.9,5,28.76
US-2016-114776,2016-12-06 00:00:00,Greg Guthrie,Antioch,California,94509,West,Office Supplies,Paper,19.44,3,9.33
US-2016-134908,2016-06-05 00:00:00,Joni Sundaresam,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,124.61,4,-23.36
US-2016-134908,2016-06-05 00:00:00,Joni Sundaresam,Philadelphia,Pennsylvania,19134,East,Office Supplies,Labels,7.56,3,2.65
US-2016-148803,2016-12-11 00:00:00,Lena Radford,Homestead,Florida,33030,South,Office Supplies,Storage,85.22,3,7.46
CA-2016-152170,2016-11-12 00:00:00,Frank Hawley,La Porte,Indiana,46350,Central,Office Supplies,Envelopes,287.52,8,129.38
CA-2016-152170,2016-11-12 00:00:00,Frank Hawley,La Porte,Indiana,46350,Central,Office Supplies,Appliances,37.68,2,10.55
CA-2016-152170,2016-11-12 00:00:00,Frank Hawley,La Porte,Indiana,46350,Central,Office Supplies,Paper,19.98,2,8.99
CA-2016-152170,2016-11-12 00:00:00,Frank Hawley,La Porte,Indiana,46350,Central,Office Supplies,Art,20.58,7,5.56
CA-2016-152170,2016-11-12 00:00:00,Frank Hawley,La Porte,Indiana,46350,Central,Office Supplies,Binders,17.38,2,8.69
CA-2014-146969,2014-09-29 00:00:00,Arthur Prichep,Los Angeles,California,90045,West,Furniture,Furnishings,204.6,2,53.2
CA-2014-146969,2014-09-29 00:00:00,Arthur Prichep,Los Angeles,California,90045,West,Office Supplies,Fasteners,8.72,4,2.88
CA-2014-146969,2014-09-29 00:00:00,Arthur Prichep,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,3.11
CA-2014-146969,2014-09-29 00:00:00,Arthur Prichep,Los Angeles,California,90045,West,Technology,Machines,686.32,2,223.05
CA-2014-146969,2014-09-29 00:00:00,Arthur Prichep,Los Angeles,California,90045,West,Office Supplies,Storage,62.18,1,16.79
CA-2015-112452,2015-04-04 00:00:00,Nat Carroll,Lansing,Michigan,48911,Central,Office Supplies,Appliances,644.08,2,107.35
CA-2015-112452,2015-04-04 00:00:00,Nat Carroll,Lansing,Michigan,48911,Central,Office Supplies,Fasteners,5.84,2,2.63
CA-2015-112452,2015-04-04 00:00:00,Nat Carroll,Lansing,Michigan,48911,Central,Office Supplies,Binders,12.76,2,5.87
CA-2015-112452,2015-04-04 00:00:00,Nat Carroll,Lansing,Michigan,48911,Central,Technology,Phones,10.95,1,0.44
CA-2015-112452,2015-04-04 00:00:00,Nat Carroll,Lansing,Michigan,48911,Central,Technology,Copiers,599.98,2,209.99
CA-2015-113971,2015-05-08 00:00:00,Claudia Bergmann,Cuyahoga Falls,Ohio,44221,East,Furniture,Furnishings,8.35,6,1.25
CA-2017-160395,2016-12-31 00:00:00,Kelly Lampkin,Reno,Nevada,89502,West,Office Supplies,Art,3.64,2,1.64
CA-2017-160395,2016-12-31 00:00:00,Kelly Lampkin,Reno,Nevada,89502,West,Office Supplies,Binders,159.77,7,53.92
CA-2014-136567,2014-12-20 00:00:00,Penelope Sewall,Harrisonburg,Virginia,22801,South,Office Supplies,Storage,122.48,2,0
CA-2014-136567,2014-12-20 00:00:00,Penelope Sewall,Harrisonburg,Virginia,22801,South,Furniture,Tables,2244.48,7,493.79
CA-2014-136567,2014-12-20 00:00:00,Penelope Sewall,Harrisonburg,Virginia,22801,South,Office Supplies,Binders,62.31,3,29.29
CA-2014-136567,2014-12-20 00:00:00,Penelope Sewall,Harrisonburg,Virginia,22801,South,Furniture,Tables,455.1,2,100.12
CA-2016-149314,2016-07-02 00:00:00,George Bell,Los Angeles,California,90004,West,Furniture,Chairs,195.18,1,19.52
CA-2017-147039,2017-06-29 00:00:00,Alex Avila,Minneapolis,Minnesota,55407,Central,Office Supplies,Appliances,362.94,3,90.74
CA-2017-147039,2017-06-29 00:00:00,Alex Avila,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,11.54,2,5.77
CA-2014-126522,2014-09-01 00:00:00,Larry Tron,Escondido,California,92025,West,Office Supplies,Art,53.94,3,15.64
CA-2014-127964,2014-03-03 00:00:00,Anne Pryor,New York City,New York,10035,East,Technology,Phones,9.99,1,4.6
CA-2014-127964,2014-03-03 00:00:00,Anne Pryor,New York City,New York,10035,East,Office Supplies,Binders,125.76,3,40.87
CA-2014-127964,2014-03-03 00:00:00,Anne Pryor,New York City,New York,10035,East,Office Supplies,Binders,25.32,5,9.18
CA-2014-117709,2014-05-04 00:00:00,Paul MacIntyre,Jackson,Michigan,49201,Central,Office Supplies,Binders,46.8,4,21.06
CA-2015-125416,2015-11-02 00:00:00,Kelly Collister,Seattle,Washington,98115,West,Technology,Accessories,447.93,9,49.27
CA-2017-145226,2017-12-08 00:00:00,Delfina Latchford,New York City,New York,10035,East,Furniture,Furnishings,109.48,2,33.94
CA-2017-145226,2017-12-08 00:00:00,Delfina Latchford,New York City,New York,10035,East,Office Supplies,Storage,272.94,3,0
CA-2017-145226,2017-12-08 00:00:00,Delfina Latchford,New York City,New York,10035,East,Office Supplies,Paper,19.44,3,9.33
CA-2017-145226,2017-12-08 00:00:00,Delfina Latchford,New York City,New York,10035,East,Office Supplies,Storage,31.92,4,8.3
US-2014-100279,2014-03-10 00:00:00,Scott Williamson,Royal Oak,Michigan,48073,Central,Office Supplies,Paper,22.38,2,10.74
CA-2014-158064,2014-04-21 00:00:00,Allen Armold,Los Angeles,California,90008,West,Office Supplies,Binders,16.52,5,5.58
US-2015-104430,2015-10-22 00:00:00,Liz Thompson,Bloomington,Illinois,61701,Central,Office Supplies,Binders,5.18,4,-7.76
CA-2015-132080,2015-08-22 00:00:00,Dave Poirier,New York City,New York,10035,East,Office Supplies,Binders,50.11,6,16.29
CA-2016-161207,2016-08-29 00:00:00,Adam Bellavance,Concord,New Hampshire,3301,East,Office Supplies,Supplies,27.93,3,8.1
CA-2014-120243,2014-12-27 00:00:00,Alyssa Tate,Los Angeles,California,90004,West,Office Supplies,Labels,11.56,4,5.43
CA-2016-113621,2016-12-01 00:00:00,Joel Eaton,Rockville,Maryland,20852,East,Furniture,Chairs,172.5,2,51.75
CA-2016-113621,2016-12-01 00:00:00,Joel Eaton,Rockville,Maryland,20852,East,Technology,Phones,179.97,3,44.99
CA-2016-168081,2016-04-24 00:00:00,Cathy Armstrong,Houston,Texas,77070,Central,Technology,Accessories,258.7,3,64.67
CA-2014-128146,2014-06-21 00:00:00,Dave Brooks,Lakewood,New Jersey,8701,East,Technology,Phones,1322.93,7,357.19
CA-2014-128146,2014-06-21 00:00:00,Dave Brooks,Lakewood,New Jersey,8701,East,Office Supplies,Art,3.76,2,1.09
CA-2017-138779,2017-01-14 00:00:00,Rob Beeghly,Jacksonville,North Carolina,28540,South,Office Supplies,Envelopes,21.74,1,7.34
CA-2017-138779,2017-01-14 00:00:00,Rob Beeghly,Jacksonville,North Carolina,28540,South,Technology,Phones,7.92,5,0.69
CA-2014-127131,2014-11-24 00:00:00,Harold Ryan,Seattle,Washington,98103,West,Office Supplies,Binders,12.1,7,4.23
CA-2014-127131,2014-11-24 00:00:00,Harold Ryan,Seattle,Washington,98103,West,Office Supplies,Storage,485.88,6,9.72
CA-2014-127131,2014-11-24 00:00:00,Harold Ryan,Seattle,Washington,98103,West,Office Supplies,Paper,25.92,4,12.44
CA-2014-127131,2014-11-24 00:00:00,Harold Ryan,Seattle,Washington,98103,West,Office Supplies,Storage,197.58,2,53.35
CA-2017-117212,2017-02-26 00:00:00,Bradley Talbott,Los Angeles,California,90036,West,Office Supplies,Appliances,81.92,4,22.12
CA-2017-117212,2017-02-26 00:00:00,Bradley Talbott,Los Angeles,California,90036,West,Technology,Phones,889.54,8,66.72
CA-2017-117212,2017-02-26 00:00:00,Bradley Talbott,Los Angeles,California,90036,West,Furniture,Chairs,892.22,3,89.22
CA-2017-117212,2017-02-26 00:00:00,Bradley Talbott,Los Angeles,California,90036,West,Office Supplies,Paper,223.92,4,109.72
CA-2017-117212,2017-02-26 00:00:00,Bradley Talbott,Los Angeles,California,90036,West,Office Supplies,Paper,23.12,4,11.33
US-2015-130519,2015-09-15 00:00:00,Nat Gilpin,Coral Springs,Florida,33065,South,Office Supplies,Paper,15.55,3,5.44
US-2015-130519,2015-09-15 00:00:00,Nat Gilpin,Coral Springs,Florida,33065,South,Furniture,Furnishings,15.71,4,2.55
US-2015-130519,2015-09-15 00:00:00,Nat Gilpin,Coral Springs,Florida,33065,South,Office Supplies,Storage,24.67,2,2.16
US-2015-130519,2015-09-15 00:00:00,Nat Gilpin,Coral Springs,Florida,33065,South,Furniture,Furnishings,55.97,1,-2.1
CA-2016-130946,2016-04-08 00:00:00,Zuschuss Carroll,Houston,Texas,77041,Central,Technology,Accessories,431.93,9,64.79
CA-2016-130946,2016-04-08 00:00:00,Zuschuss Carroll,Houston,Texas,77041,Central,Furniture,Chairs,95.98,4,-4.11
CA-2016-130946,2016-04-08 00:00:00,Zuschuss Carroll,Houston,Texas,77041,Central,Office Supplies,Binders,1088.79,4,-1850.95
CA-2016-114727,2016-07-18 00:00:00,Linda Southworth,Denver,Colorado,80219,West,Furniture,Chairs,544.01,3,40.8
CA-2016-114727,2016-07-18 00:00:00,Linda Southworth,Denver,Colorado,80219,West,Office Supplies,Binders,1.87,3,-1.44
CA-2016-114727,2016-07-18 00:00:00,Linda Southworth,Denver,Colorado,80219,West,Furniture,Chairs,854.35,3,10.68
CA-2016-114727,2016-07-18 00:00:00,Linda Southworth,Denver,Colorado,80219,West,Office Supplies,Storage,593.57,2,0
CA-2016-114727,2016-07-18 00:00:00,Linda Southworth,Denver,Colorado,80219,West,Office Supplies,Storage,338.04,3,-33.8
CA-2017-133235,2017-08-01 00:00:00,Larry Hughes,Charlotte,North Carolina,28205,South,Technology,Phones,271.96,5,17
CA-2016-137050,2016-07-14 00:00:00,Steven Ward,New York City,New York,10009,East,Office Supplies,Storage,11.21,1,3.36
CA-2016-137050,2016-07-14 00:00:00,Steven Ward,New York City,New York,10009,East,Office Supplies,Binders,9.14,3,3.2
CA-2016-137050,2016-07-14 00:00:00,Steven Ward,New York City,New York,10009,East,Office Supplies,Fasteners,14.07,7,6.89
CA-2016-137050,2016-07-14 00:00:00,Steven Ward,New York City,New York,10009,East,Office Supplies,Art,41.86,7,10.47
