id,order_id,order_date,shipment,customer_id,name,segment,city,state,post_code,region,category,sub_category,sales,qty,profit
1021,CA-2015-124450,27-04-2015,Standard Class,GT-14710,Greg Tran,Consumer,Washington,District of Columbia,20016,East,Office Supplies,Art,22.74,3,8.8686
1022,CA-2015-124450,27-04-2015,Standard Class,GT-14710,Greg Tran,Consumer,Washington,District of Columbia,20016,East,Furniture,Chairs,1267.53,3,316.8825
1023,CA-2015-124450,27-04-2015,Standard Class,GT-14710,Greg Tran,Consumer,Washington,District of Columbia,20016,East,Technology,Machines,1379.92,8,648.5624
1024,CA-2015-167269,16-06-2015,Standard Class,PB-19150,Philip Brown,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Envelopes,6.208,2,2.1728
1025,CA-2017-106964,17-12-2017,First Class,HR-14770,Hallie Redmond,Home Office,Los Angeles,California,90045,West,Office Supplies,Binders,11.808,2,4.2804
1026,CA-2016-126529,11-01-2016,Second Class,DE-13255,Deanra Eno,Home Office,Springfield,Ohio,45503,East,Office Supplies,Paper,15.552,3,5.4432
1027,CA-2016-126529,11-01-2016,Second Class,DE-13255,Deanra Eno,Home Office,Springfield,Ohio,45503,East,Office Supplies,Paper,63.312,3,20.5764
1028,CA-2016-126529,11-01-2016,Second Class,DE-13255,Deanra Eno,Home Office,Springfield,Ohio,45503,East,Technology,Phones,15.588,2,-9.8724
1029,CA-2014-163552,11-07-2014,Standard Class,LA-16780,Laura Armstrong,Corporate,Hackensack,New Jersey,7601,East,Office Supplies,Paper,177.2,5,83.284
1030,CA-2014-163552,11-07-2014,Standard Class,LA-16780,Laura Armstrong,Corporate,Hackensack,New Jersey,7601,East,Technology,Phones,197.97,3,57.4113
1031,CA-2014-163552,11-07-2014,Standard Class,LA-16780,Laura Armstrong,Corporate,Hackensack,New Jersey,7601,East,Furniture,Chairs,854.94,3,213.735
1032,CA-2014-163552,11-07-2014,Standard Class,LA-16780,Laura Armstrong,Corporate,Hackensack,New Jersey,7601,East,Furniture,Furnishings,124.11,9,52.1262
1033,CA-2014-163552,11-07-2014,Standard Class,LA-16780,Laura Armstrong,Corporate,Hackensack,New Jersey,7601,East,Office Supplies,Labels,14.4,5,7.056
1034,CA-2016-109820,20-11-2016,First Class,AG-10390,Allen Goldenen,Consumer,Cincinnati,Ohio,45231,East,Office Supplies,Paper,15.696,3,5.1012
1035,CA-2016-109820,20-11-2016,First Class,AG-10390,Allen Goldenen,Consumer,Cincinnati,Ohio,45231,East,Office Supplies,Binders,2.628,2,-1.9272
1036,CA-2016-109820,20-11-2016,First Class,AG-10390,Allen Goldenen,Consumer,Cincinnati,Ohio,45231,East,Office Supplies,Binders,14.427,3,-10.5798
1037,CA-2016-113061,22-04-2016,Standard Class,EL-13735,Ed Ludwig,Home Office,Jefferson City,Missouri,65109,Central,Furniture,Furnishings,86.62,2,8.662
1038,CA-2015-127418,13-06-2015,First Class,JJ-15445,Jennifer Jackson,Consumer,Los Angeles,California,90004,West,Office Supplies,Binders,36.624,3,13.734
1039,CA-2017-121818,20-11-2017,First Class,JH-15430,Jennifer Halladay,Consumer,Burlington,North Carolina,27217,South,Office Supplies,Art,23.968,7,2.6964
1040,CA-2017-121818,20-11-2017,First Class,JH-15430,Jennifer Halladay,Consumer,Burlington,North Carolina,27217,South,Office Supplies,Art,28.728,3,1.7955
1041,CA-2016-127670,20-03-2016,Standard Class,RD-19660,Robert Dilbeck,Home Office,Saint Peters,Missouri,63376,Central,Furniture,Tables,697.16,4,146.4036
1042,CA-2016-102981,06-09-2016,Second Class,MO-17500,Mary O'Rourke,Consumer,New York City,New York,10035,East,Technology,Accessories,31.86,2,11.151
1043,CA-2016-102981,06-09-2016,Second Class,MO-17500,Mary O'Rourke,Consumer,New York City,New York,10035,East,Furniture,Bookcases,722.352,3,90.294
1044,CA-2017-115651,09-07-2017,First Class,NS-18640,Noel Staavos,Corporate,Chicago,Illinois,60610,Central,Office Supplies,Art,8.84,5,2.9835
1045,CA-2017-115651,09-07-2017,First Class,NS-18640,Noel Staavos,Corporate,Chicago,Illinois,60610,Central,Office Supplies,Appliances,58.464,9,-146.16
1046,CA-2017-152702,12-10-2017,Standard Class,SN-20710,Steve Nguyen,Home Office,Rockford,Illinois,61107,Central,Furniture,Chairs,254.604,14,-18.186
1047,CA-2016-169103,08-03-2016,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,Miami,Florida,33142,South,Technology,Phones,1363.96,5,85.2475
1048,CA-2016-169103,08-03-2016,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,Miami,Florida,33142,South,Furniture,Furnishings,102.36,3,-3.8385
1049,CA-2014-139192,27-05-2014,Second Class,LC-16885,Lena Creighton,Consumer,San Francisco,California,94109,West,Technology,Phones,1113.504,12,125.2692
1050,CA-2014-139192,27-05-2014,Second Class,LC-16885,Lena Creighton,Consumer,San Francisco,California,94109,West,Technology,Accessories,99.99,1,37.9962
1051,US-2015-153500,03-07-2015,First Class,DG-13300,Deirdre Greer,Corporate,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,168.464,2,-29.4812
1052,US-2015-153500,03-07-2015,First Class,DG-13300,Deirdre Greer,Corporate,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,6.72,2,2.436
1053,US-2015-153500,03-07-2015,First Class,DG-13300,Deirdre Greer,Corporate,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,282.888,9,56.5776
1054,CA-2015-110667,04-04-2015,Standard Class,NF-18595,Nicole Fjeld,Home Office,New York City,New York,10009,East,Office Supplies,Art,11.16,2,4.3524
1055,CA-2015-110667,04-04-2015,Standard Class,NF-18595,Nicole Fjeld,Home Office,New York City,New York,10009,East,Furniture,Furnishings,108.4,2,22.764
1056,CA-2015-110667,04-04-2015,Standard Class,NF-18595,Nicole Fjeld,Home Office,New York City,New York,10009,East,Office Supplies,Binders,82.344,3,27.7911
1057,CA-2015-110667,04-04-2015,Standard Class,NF-18595,Nicole Fjeld,Home Office,New York City,New York,10009,East,Office Supplies,Binders,9.088,4,3.2944
1058,CA-2017-167150,10-12-2017,Standard Class,BP-11185,Ben Peterman,Corporate,San Diego,California,92037,West,Office Supplies,Binders,19.936,4,7.2268
1059,CA-2017-167150,10-12-2017,Standard Class,BP-11185,Ben Peterman,Corporate,San Diego,California,92037,West,Office Supplies,Binders,65.568,2,22.9488
1060,CA-2016-105284,24-11-2016,Standard Class,MG-17650,Matthew Grinstein,Home Office,Philadelphia,Pennsylvania,19143,East,Office Supplies,Fasteners,4.416,3,1.6008
1061,US-2015-125374,23-03-2015,Standard Class,JD-16060,Julia Dunbar,Consumer,Houston,Texas,77095,Central,Furniture,Chairs,107.772,2,-29.2524
1062,CA-2015-161263,16-04-2015,Standard Class,TS-21160,Theresa Swint,Corporate,Toledo,Ohio,43615,East,Office Supplies,Appliances,45.216,3,4.5216
1063,CA-2015-161263,16-04-2015,Standard Class,TS-21160,Theresa Swint,Corporate,Toledo,Ohio,43615,East,Office Supplies,Fasteners,10.416,7,-2.2134
1064,CA-2015-161263,16-04-2015,Standard Class,TS-21160,Theresa Swint,Corporate,Toledo,Ohio,43615,East,Office Supplies,Art,7.872,3,1.2792
1065,CA-2015-161263,16-04-2015,Standard Class,TS-21160,Theresa Swint,Corporate,Toledo,Ohio,43615,East,Technology,Phones,118.782,3,-27.7158
1066,CA-2015-161263,16-04-2015,Standard Class,TS-21160,Theresa Swint,Corporate,Toledo,Ohio,43615,East,Office Supplies,Fasteners,1.448,1,0.2353
1067,CA-2015-161263,16-04-2015,Standard Class,TS-21160,Theresa Swint,Corporate,Toledo,Ohio,43615,East,Office Supplies,Binders,55.47,5,-46.225
1068,CA-2016-157686,01-10-2016,First Class,BD-11620,Brian DeCherney,Consumer,San Francisco,California,94122,West,Furniture,Chairs,194.848,4,12.178
1069,US-2017-139955,28-09-2017,Second Class,CM-12160,Charles McCrossin,Consumer,Brownsville,Texas,78521,Central,Office Supplies,Supplies,1.744,1,-0.3488
1070,US-2015-150161,25-07-2015,Standard Class,RB-19795,Ross Baird,Home Office,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,25.176,4,-18.4624
1071,CA-2015-144652,20-11-2015,Standard Class,SN-20560,Skye Norling,Home Office,Los Angeles,California,90008,West,Office Supplies,Art,19.46,7,5.0596
1072,CA-2016-152814,28-04-2016,Standard Class,EH-14005,Erica Hernandez,Home Office,Denver,Colorado,80219,West,Office Supplies,Paper,29.472,3,9.9468
1073,CA-2017-106943,14-11-2017,Standard Class,FO-14305,Frank Olsen,Consumer,New York City,New York,10035,East,Office Supplies,Binders,8.64,2,3.024
1074,CA-2016-134348,12-11-2016,Standard Class,MS-17710,Maurice Satty,Consumer,Mesa,Arizona,85204,West,Office Supplies,Binders,6.27,5,-4.598
1075,CA-2016-134348,12-11-2016,Standard Class,MS-17710,Maurice Satty,Consumer,Mesa,Arizona,85204,West,Office Supplies,Binders,4.368,7,-3.3488
1076,CA-2016-134348,12-11-2016,Standard Class,MS-17710,Maurice Satty,Consumer,Mesa,Arizona,85204,West,Technology,Accessories,31.984,2,1.999
1077,CA-2016-161781,29-09-2016,First Class,CC-12100,Chad Cunningham,Home Office,Columbus,Indiana,47201,Central,Office Supplies,Art,40.88,7,10.6288
1078,CA-2017-132521,23-09-2017,Second Class,DW-13540,Don Weiss,Consumer,Seattle,Washington,98105,West,Office Supplies,Appliances,119.96,2,33.5888
1079,CA-2017-132521,23-09-2017,Second Class,DW-13540,Don Weiss,Consumer,Seattle,Washington,98105,West,Office Supplies,Storage,31.44,3,8.4888
1080,CA-2017-132521,23-09-2017,Second Class,DW-13540,Don Weiss,Consumer,Seattle,Washington,98105,West,Office Supplies,Binders,6.88,1,2.322
1081,CA-2015-110016,29-11-2015,Standard Class,BT-11395,Bill Tyler,Corporate,Detroit,Michigan,48227,Central,Office Supplies,Paper,19.92,4,9.3624
1082,CA-2015-110016,29-11-2015,Standard Class,BT-11395,Bill Tyler,Corporate,Detroit,Michigan,48227,Central,Furniture,Chairs,1106.91,9,121.7601
1083,US-2016-143819,01-03-2016,Standard Class,KD-16270,Karen Daniels,Consumer,Yonkers,New York,10701,East,Furniture,Tables,836.592,8,-264.9208
1084,US-2016-143819,01-03-2016,Standard Class,KD-16270,Karen Daniels,Consumer,Yonkers,New York,10701,East,Office Supplies,Paper,26.38,1,12.1348
1085,US-2016-143819,01-03-2016,Standard Class,KD-16270,Karen Daniels,Consumer,Yonkers,New York,10701,East,Office Supplies,Storage,362.92,2,105.2468
1086,US-2016-143819,01-03-2016,Standard Class,KD-16270,Karen Daniels,Consumer,Yonkers,New York,10701,East,Technology,Machines,4899.93,7,2400.9657
1087,CA-2016-167584,12-08-2016,Same Day,LC-16870,Lena Cacioppo,Consumer,Des Moines,Iowa,50315,Central,Office Supplies,Paper,6.48,1,3.1104
1088,CA-2016-166163,15-08-2016,Second Class,CY-12745,Craig Yedwab,Corporate,Oakland,California,94601,West,Technology,Phones,71.976,3,7.1976
1089,CA-2016-166163,15-08-2016,Second Class,CY-12745,Craig Yedwab,Corporate,Oakland,California,94601,West,Office Supplies,Labels,3.15,1,1.512
1090,CA-2017-158407,04-06-2017,Standard Class,LW-16990,Lindsay Williams,Corporate,Monroe,North Carolina,28110,South,Furniture,Furnishings,31.984,2,1.999
1091,CA-2017-158407,04-06-2017,Standard Class,LW-16990,Lindsay Williams,Corporate,Monroe,North Carolina,28110,South,Technology,Phones,71.984,2,25.1944
1092,CA-2015-143490,06-12-2015,Standard Class,NP-18325,Naresj Patel,Consumer,San Diego,California,92105,West,Office Supplies,Art,120.15,9,33.642
1093,CA-2015-143490,06-12-2015,Standard Class,NP-18325,Naresj Patel,Consumer,San Diego,California,92105,West,Technology,Phones,219.184,2,19.1786
1094,CA-2015-165085,27-12-2015,Standard Class,BT-11485,Brad Thomas,Home Office,Clinton,Maryland,20735,East,Office Supplies,Paper,28.9,5,14.161
1095,CA-2015-165085,27-12-2015,Standard Class,BT-11485,Brad Thomas,Home Office,Clinton,Maryland,20735,East,Office Supplies,Appliances,355.96,2,103.2284
1096,CA-2017-160423,21-01-2017,Standard Class,PS-19045,Penelope Sewall,Home Office,Charlotte,North Carolina,28205,South,Office Supplies,Storage,348.208,7,30.4682
1097,CA-2017-160423,21-01-2017,Standard Class,PS-19045,Penelope Sewall,Home Office,Charlotte,North Carolina,28205,South,Office Supplies,Binders,35.784,7,-28.6272
1098,CA-2014-159338,25-06-2014,First Class,NS-18640,Noel Staavos,Corporate,Los Angeles,California,90049,West,Furniture,Tables,447.84,5,11.196
1099,CA-2016-107216,14-06-2016,First Class,PV-18985,Paul Van Hugh,Home Office,San Francisco,California,94122,West,Office Supplies,Art,7.04,4,2.0416
1100,CA-2016-107216,14-06-2016,First Class,PV-18985,Paul Van Hugh,Home Office,San Francisco,California,94122,West,Furniture,Furnishings,8.73,3,4.1031
1101,CA-2016-107216,14-06-2016,First Class,PV-18985,Paul Van Hugh,Home Office,San Francisco,California,94122,West,Technology,Accessories,29.29,1,9.6657
1102,CA-2016-107216,14-06-2016,First Class,PV-18985,Paul Van Hugh,Home Office,San Francisco,California,94122,West,Office Supplies,Art,8.64,3,2.5056
1103,US-2017-145863,21-04-2017,Standard Class,RP-19390,Resi P̦lking,Consumer,Houston,Texas,77041,Central,Office Supplies,Binders,2.694,3,-4.7145
1104,US-2017-145863,21-04-2017,Standard Class,RP-19390,Resi P̦lking,Consumer,Houston,Texas,77041,Central,Office Supplies,Binders,2.934,3,-4.9878
1105,CA-2016-112340,21-10-2016,Standard Class,NM-18520,Neoma Murray,Consumer,Riverside,California,92503,West,Office Supplies,Paper,22.92,3,11.2308
1106,US-2016-110156,19-11-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,Houston,Texas,77041,Central,Office Supplies,Storage,100.704,6,-16.3644
1107,US-2016-110156,19-11-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,Houston,Texas,77041,Central,Furniture,Furnishings,2.328,2,-0.7566
1108,US-2016-110156,19-11-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,Houston,Texas,77041,Central,Office Supplies,Binders,10.78,5,-17.248
1109,US-2016-110156,19-11-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,Houston,Texas,77041,Central,Office Supplies,Fasteners,58.368,12,21.888
1110,US-2016-110156,19-11-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,Houston,Texas,77041,Central,Office Supplies,Envelopes,40.968,3,13.8267
1111,US-2016-110156,19-11-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,Houston,Texas,77041,Central,Technology,Phones,71.96,5,25.186
1112,US-2016-110156,19-11-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,Houston,Texas,77041,Central,Office Supplies,Paper,10.368,2,3.6288
1113,US-2016-110156,19-11-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,Houston,Texas,77041,Central,Office Supplies,Binders,1.192,2,-2.0264
1114,CA-2017-140585,18-12-2017,Second Class,RA-19915,Russell Applegate,Consumer,Encinitas,California,92024,West,Office Supplies,Binders,46.672,2,16.3352
1115,CA-2017-140585,18-12-2017,Second Class,RA-19915,Russell Applegate,Consumer,Encinitas,California,92024,West,Furniture,Bookcases,119.833,1,-12.6882
1116,CA-2017-140585,18-12-2017,Second Class,RA-19915,Russell Applegate,Consumer,Encinitas,California,92024,West,Technology,Accessories,119.98,2,57.5904
1117,CA-2016-144855,22-07-2016,Second Class,DL-13495,Dionis Lloyd,Corporate,San Francisco,California,94110,West,Office Supplies,Labels,6.3,2,3.024
1118,CA-2015-142755,04-09-2015,Standard Class,CS-12355,Christine Sundaresam,Consumer,Roswell,Georgia,30076,South,Office Supplies,Paper,279.9,5,137.151
1119,CA-2015-142755,04-09-2015,Standard Class,CS-12355,Christine Sundaresam,Consumer,Roswell,Georgia,30076,South,Technology,Accessories,619.95,5,111.591
1120,CA-2015-142755,04-09-2015,Standard Class,CS-12355,Christine Sundaresam,Consumer,Roswell,Georgia,30076,South,Office Supplies,Paper,4.36,2,2.0492
1121,CA-2015-142755,04-09-2015,Standard Class,CS-12355,Christine Sundaresam,Consumer,Roswell,Georgia,30076,South,Office Supplies,Envelopes,15.28,2,7.4872
1122,US-2014-147627,20-01-2014,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,72401,South,Technology,Phones,699.93,7,181.9818
1123,US-2014-147627,20-01-2014,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,72401,South,Office Supplies,Art,22.96,7,6.6584
1124,US-2014-147627,20-01-2014,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,72401,South,Furniture,Furnishings,38.6,4,11.58
1125,US-2014-147627,20-01-2014,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,72401,South,Office Supplies,Art,6.63,3,1.7901
1126,US-2014-147627,20-01-2014,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,72401,South,Office Supplies,Envelopes,23.34,3,10.9698
1127,US-2014-147627,20-01-2014,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,72401,South,Furniture,Chairs,1067.94,3,224.2674
1128,CA-2015-105970,02-03-2015,Standard Class,PA-19060,Pete Armstrong,Home Office,Richmond,Indiana,47374,Central,Office Supplies,Art,10.16,1,2.6416
1129,CA-2015-105970,02-03-2015,Standard Class,PA-19060,Pete Armstrong,Home Office,Richmond,Indiana,47374,Central,Office Supplies,Envelopes,101.88,6,50.94
1130,CA-2016-112102,12-04-2016,Standard Class,BD-11605,Brian Dahlen,Consumer,Springfield,Virginia,22153,South,Furniture,Tables,343.92,4,75.6624
1131,CA-2016-112102,12-04-2016,Standard Class,BD-11605,Brian Dahlen,Consumer,Springfield,Virginia,22153,South,Office Supplies,Paper,40.99,1,20.0851
1132,CA-2016-112102,12-04-2016,Standard Class,BD-11605,Brian Dahlen,Consumer,Springfield,Virginia,22153,South,Office Supplies,Envelopes,63.9,5,28.755
1133,US-2016-114776,06-12-2016,First Class,GG-14650,Greg Guthrie,Corporate,Antioch,California,94509,West,Office Supplies,Paper,19.44,3,9.3312
1134,US-2016-134908,05-06-2016,Standard Class,JS-15940,Joni Sundaresam,Home Office,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,124.608,4,-23.364
1135,US-2016-134908,05-06-2016,Standard Class,JS-15940,Joni Sundaresam,Home Office,Philadelphia,Pennsylvania,19134,East,Office Supplies,Labels,7.56,3,2.646
1136,US-2016-148803,11-12-2016,Same Day,LR-16915,Lena Radford,Consumer,Homestead,Florida,33030,South,Office Supplies,Storage,85.224,3,7.4571
1137,CA-2016-152170,12-11-2016,Second Class,FH-14275,Frank Hawley,Corporate,La Porte,Indiana,46350,Central,Office Supplies,Envelopes,287.52,8,129.384
1138,CA-2016-152170,12-11-2016,Second Class,FH-14275,Frank Hawley,Corporate,La Porte,Indiana,46350,Central,Office Supplies,Appliances,37.68,2,10.5504
1139,CA-2016-152170,12-11-2016,Second Class,FH-14275,Frank Hawley,Corporate,La Porte,Indiana,46350,Central,Office Supplies,Paper,19.98,2,8.991
1140,CA-2016-152170,12-11-2016,Second Class,FH-14275,Frank Hawley,Corporate,La Porte,Indiana,46350,Central,Office Supplies,Art,20.58,7,5.5566
1141,CA-2016-152170,12-11-2016,Second Class,FH-14275,Frank Hawley,Corporate,La Porte,Indiana,46350,Central,Office Supplies,Binders,17.38,2,8.69
1142,CA-2014-146969,29-09-2014,Standard Class,AP-10915,Arthur Prichep,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,204.6,2,53.196
1143,CA-2014-146969,29-09-2014,Standard Class,AP-10915,Arthur Prichep,Consumer,Los Angeles,California,90045,West,Office Supplies,Fasteners,8.72,4,2.8776
1144,CA-2014-146969,29-09-2014,Standard Class,AP-10915,Arthur Prichep,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,3.1104
1145,CA-2014-146969,29-09-2014,Standard Class,AP-10915,Arthur Prichep,Consumer,Los Angeles,California,90045,West,Technology,Machines,686.32,2,223.054
1146,CA-2014-146969,29-09-2014,Standard Class,AP-10915,Arthur Prichep,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,62.18,1,16.7886
1147,CA-2015-112452,04-04-2015,Same Day,NC-18340,Nat Carroll,Consumer,Lansing,Michigan,48911,Central,Office Supplies,Appliances,644.076,2,107.346
1148,CA-2015-112452,04-04-2015,Same Day,NC-18340,Nat Carroll,Consumer,Lansing,Michigan,48911,Central,Office Supplies,Fasteners,5.84,2,2.628
1149,CA-2015-112452,04-04-2015,Same Day,NC-18340,Nat Carroll,Consumer,Lansing,Michigan,48911,Central,Office Supplies,Binders,12.76,2,5.8696
1150,CA-2015-112452,04-04-2015,Same Day,NC-18340,Nat Carroll,Consumer,Lansing,Michigan,48911,Central,Technology,Phones,10.95,1,0.438
1151,CA-2015-112452,04-04-2015,Same Day,NC-18340,Nat Carroll,Consumer,Lansing,Michigan,48911,Central,Technology,Copiers,599.98,2,209.993
1152,CA-2015-113971,08-05-2015,Standard Class,CB-12535,Claudia Bergmann,Corporate,Cuyahoga Falls,Ohio,44221,East,Furniture,Furnishings,8.352,6,1.2528
1153,CA-2017-160395,31-12-2016,Standard Class,KL-16555,Kelly Lampkin,Corporate,Reno,Nevada,89502,West,Office Supplies,Art,3.64,2,1.638
1154,CA-2017-160395,31-12-2016,Standard Class,KL-16555,Kelly Lampkin,Corporate,Reno,Nevada,89502,West,Office Supplies,Binders,159.768,7,53.9217
1155,CA-2014-136567,20-12-2014,First Class,PS-19045,Penelope Sewall,Home Office,Harrisonburg,Virginia,22801,South,Office Supplies,Storage,122.48,2,0
1156,CA-2014-136567,20-12-2014,First Class,PS-19045,Penelope Sewall,Home Office,Harrisonburg,Virginia,22801,South,Furniture,Tables,2244.48,7,493.7856
1157,CA-2014-136567,20-12-2014,First Class,PS-19045,Penelope Sewall,Home Office,Harrisonburg,Virginia,22801,South,Office Supplies,Binders,62.31,3,29.2857
1158,CA-2014-136567,20-12-2014,First Class,PS-19045,Penelope Sewall,Home Office,Harrisonburg,Virginia,22801,South,Furniture,Tables,455.1,2,100.122
1159,CA-2016-149314,02-07-2016,Second Class,GB-14530,George Bell,Corporate,Los Angeles,California,90004,West,Furniture,Chairs,195.184,1,19.5184
1160,CA-2017-147039,29-06-2017,Standard Class,AA-10315,Alex Avila,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Appliances,362.94,3,90.735
1161,CA-2017-147039,29-06-2017,Standard Class,AA-10315,Alex Avila,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,11.54,2,5.77
1162,CA-2014-126522,01-09-2014,Second Class,LT-16765,Larry Tron,Consumer,Escondido,California,92025,West,Office Supplies,Art,53.94,3,15.6426
1163,CA-2014-127964,03-03-2014,Standard Class,AP-10720,Anne Pryor,Home Office,New York City,New York,10035,East,Technology,Phones,9.99,1,4.5954
1164,CA-2014-127964,03-03-2014,Standard Class,AP-10720,Anne Pryor,Home Office,New York City,New York,10035,East,Office Supplies,Binders,125.76,3,40.872
1165,CA-2014-127964,03-03-2014,Standard Class,AP-10720,Anne Pryor,Home Office,New York City,New York,10035,East,Office Supplies,Binders,25.32,5,9.1785
1166,CA-2014-117709,04-05-2014,Standard Class,PM-18940,Paul MacIntyre,Consumer,Jackson,Michigan,49201,Central,Office Supplies,Binders,46.8,4,21.06
1167,CA-2015-125416,02-11-2015,Same Day,KC-16540,Kelly Collister,Consumer,Seattle,Washington,98115,West,Technology,Accessories,447.93,9,49.2723
1168,CA-2017-145226,08-12-2017,Second Class,DL-13315,Delfina Latchford,Consumer,New York City,New York,10035,East,Furniture,Furnishings,109.48,2,33.9388
1169,CA-2017-145226,08-12-2017,Second Class,DL-13315,Delfina Latchford,Consumer,New York City,New York,10035,East,Office Supplies,Storage,272.94,3,0
1170,CA-2017-145226,08-12-2017,Second Class,DL-13315,Delfina Latchford,Consumer,New York City,New York,10035,East,Office Supplies,Paper,19.44,3,9.3312
1171,CA-2017-145226,08-12-2017,Second Class,DL-13315,Delfina Latchford,Consumer,New York City,New York,10035,East,Office Supplies,Storage,31.92,4,8.2992
1172,US-2014-100279,10-03-2014,Standard Class,SW-20275,Scott Williamson,Consumer,Royal Oak,Michigan,48073,Central,Office Supplies,Paper,22.38,2,10.7424
1173,CA-2014-158064,21-04-2014,Standard Class,AA-10375,Allen Armold,Consumer,Los Angeles,California,90008,West,Office Supplies,Binders,16.52,5,5.5755
